food_id,food_name,brand,categories,countries,collection_location,source,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,nutriscore,nova_group,serving_size,quantity,salt_g
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",,,,USDA reference,USDA FoodData Central SR Legacy,,2.9,18.43,1.73,0.0,,164.0,0.462,,,,,
167590,"Andrea's, Gluten Free Soft Dinner Roll",,,,USDA reference,USDA FoodData Central SR Legacy,,5.65,40.24,8.2,2.9,2.98,544.0,,,,,,
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",,,,USDA reference,USDA FoodData Central SR Legacy,,10.91,67.18,15.92,7.5,0.8,370.0,7.004,,,,,
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",,,,USDA reference,USDA FoodData Central SR Legacy,,2.19,76.03,17.89,2.5,49.0,275.0,6.142,,,,,
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",,,,USDA reference,USDA FoodData Central SR Legacy,,2.19,77.34,18.79,0.0,49.43,189.0,6.253,,,,,
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",,,,USDA reference,USDA FoodData Central SR Legacy,,9.42,65.81,18.42,2.4,1.03,947.0,10.991,,,,,
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",,,,USDA reference,USDA FoodData Central SR Legacy,,11.16,64.7,17.29,3.5,0.83,1187.0,9.223,,,,,
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",,,,USDA reference,USDA FoodData Central SR Legacy,,9.67,65.11,18.93,3.5,0.86,815.0,11.111,,,,,
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",,,,USDA reference,USDA FoodData Central SR Legacy,,3.13,52.83,10.7,3.5,8.36,528.0,7.363,,,,,
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",,,,USDA reference,USDA FoodData Central SR Legacy,,5.4,51.15,8.02,5.5,11.3,515.0,4.721,,,,,
