food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
5025125000150,Everyday White Rolls,Jason's,White breads,United Kingdom,UK,245.0,10.0,48.8,0.7,1.8,3.4,0.307,0.1,0.7675,b,3.0,1 portion (80 g),320g,Open Food Facts
5013665100065,Organic Lightly Salted Wholegrain Low Fat Rice Cakes,kallø,Puffed wholegrain rice cakes,"France, United Kingdom",UK,1900.0,8.5,82.3,2.7,0.0,0.5,0.118,0.7,0.295,b,3.0,1 portion (100 g),130 g,Open Food Facts
50457236,Tomato Ketchup,Heinz,"Tomato Ketchup, Groceries","Ireland, United Kingdom",UK,102.0,1.2,23.2,0.1,0.0,22.8,0.72,0.0,1.8,d,3.0,1 serving (15 g),800 ml,Open Food Facts
8719200269743,BUTTERY,Flora,"Salted spreads, Margarines",United Kingdom,UK,677.0,0.5,0.5,75.0,,0.5,0.511,28.0,1.2775,e,4.0,1 portion (100 g),450 g,Open Food Facts
4056489148739,Creamy Greek Style Natural Yogurt,Milbona,Greek-style yogurts,United Kingdom,UK,126.4,4.1,4.6,10.0,0.5,4.1,0.039,6.7,0.0975,c,1.0,1 portion (100 g),1kg,Open Food Facts
5010003064744,Seed Sensations Seven Seeds,Hovis,Multigrain sliced breads,"France, Ireland, United Kingdom",UK,277.272727272727,10.0,42.0,6.6,5.3,3.8,0.00088,0.6,0.0022,a,4.0,1 slice (44 g),800g,Open Food Facts
7394376616228,The original oat-ly barista edition oat drink,Oatly,Oat-based drinks,"France, Germany, Ireland, United Kingdom",UK,61.0,1.1,7.1,3.0,0.8,3.4,0.039,0.3,0.0975,d,3.0,1 serving (100 ml),1l,Open Food Facts
5010044000701,Original Crumpets,Warburtons,"Breads, Crumpets, Crumpets","France, Spain, United Kingdom",UK,176.0,6.0,35.3,0.8,2.0,2.0,0.582,0.2,1.48,c,4.0,1 crumpet (55 g),6,Open Food Facts
5034467000216,NAKED ORGANIC TOFU,The Tofoo Co.,"Meat analogues, Plain tofu","France, Ireland, United Kingdom",UK,145.714285714286,16.5,1.1,7.8,1.9,0.1,6e-05,1.2,0.00015,a,3.0,70 g,280g,Open Food Facts
5000157024671,Beanz in a rich tomato sauce,Heinz,"Vegetables based foods, Baked beans in tomato sauce, Canned common beans","Bulgaria, France, Germany, Portugal, Spain, Sweden, United Kingdom",UK,79.0,4.7,12.9,0.2,3.7,5.0,0.24,0.1,0.6,a,4.0,0.5 Can (207 g),415g,Open Food Facts
5057967395088,Rye and Mixed Seed Sourdough Bread,finest,"Rye-and-wheat breads, Rye breads, Sourdough",United Kingdom,UK,203.333333333333,9.0,42.6,3.8,6.8,2.2,0.354,0.4,0.78,a,3.0,1 Slice (50 g),400 g,Open Food Facts
50457250,Tomato Ketchup,Heinz,"Tomato Ketchup, Groceries","Netherlands, United Kingdom",UK,100.0,1.2,23.2,0.1,,22.8,0.708,0.1,1.77,d,3.0,1 serving(s) (15 g),700g,Open Food Facts
5020364010113,New York Bakery Co The Original Plain Bagels,New York Bakery Co,Bagel breads,"France, United Kingdom",UK,265.0,9.4,51.5,1.6,3.2,4.3,0.244,0.3,0.61,c,3.0,85 g,5,Open Food Facts
50160884,Vegan Bouillon powder,Marigold,Vegetable bouillon powders,"France, United Kingdom",UK,241.0,9.6,30.6,8.4,0.0,3.9,17.52,0.9,43.8,unknown,3.0,100g,150g,Open Food Facts
7622201693916,Full fat soft cheese,PHILADELPHIA,"Cheese spreads, Cream cheeses","Ireland, United Kingdom",UK,226.666666666667,5.4,4.3,21.0,0.2,4.3,0.3,14.0,0.75,d,4.0,30 g,165g,Open Food Facts
680569854124,Fermented Coconut Yoghurt Alternative,The Coconut Collab,Yogurt drinks,"Finland, France, Ireland, United Kingdom",UK,71.1111111111111,1.2,5.9,10.0,1.0,1.6,0.016,9.0,0.04,e,4.0,100 g,350 g,Open Food Facts
1318180,MULTISEED WHOLEMEAL FARMHOUSE LOAF,"Sainsbury's, Sainsbury's taste the difference","Multigrain sliced breads, Wholemeal breads","France, United Kingdom",UK,270.0,12.8,34.2,7.5,7.4,4.2,0.336,1.1,0.84,a,4.0,1 slice,800g,Open Food Facts
5010265002911,Dark Rye Crispbread,RYVITA,"Rye breads, Crispbreads","Ireland, United Kingdom",UK,342.0,8.5,66.6,1.2,1.5,3.0,0.37143,0.2,0.74,c,,100g,250 g,Open Food Facts
5201054017418,Total 0% fat,FAGE,Greek-style yogurts,"France, Ireland, United Kingdom",UK,54.0,10.3,3.0,0.0,0.0,3.0,0.04,0.0,0.1,a,1.0,1 portion (100 g),450 g,Open Food Facts
5013665112273,Organic Vegetable Stock Cubes,Kallø,"Broth stock, Dehydrated vegetables bouillon, Vegetable bouillon cubes","France, United Kingdom",UK,7.0,0.0,0.7,0.4,0.01,0.3,0.36,0.2,0.9,unknown,3.0,100ml,88g,Open Food Facts
5013665115373,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,Kallo,"Crackers (Appetizers), Vegetable cakes",United Kingdom,UK,400.0,25.0,51.0,12.0,6.0,3.6,0.433,1.1,0.1035,a,4.0,1 cake (9.4 g),122 g,Open Food Facts
5059319030517,kelloggs corn flakes,Kellogg's,Corn flakes,"Ireland, United Kingdom",UK,378.0,7.0,84.0,0.9,3.0,8.0,0.44,0.2,1.1,d,3.0,1 portion (30 g),,Open Food Facts
5060228323799,Heavenly Houmous,Ramona's,Hummus,United Kingdom,UK,272.0,6.4,10.5,21.6,5.0,0.6,0.393,1.8,0.9825,b,4.0,1 serving (100 g),500g,Open Food Facts
